Provider,Model Name,Model Code,Output Type,RPM,RPD,TPM,TPD,ASH,ASD,Info / Notes
Google,Gemini 2.5,,text,1500,,,,,,"Search grounding | General use, text generation."
Google,Gemini 3,,text,0,,,,,,"Search grounding | General use, text generation."
Google,Default,,text,1500,,,,,,"Search grounding | General use, text generation."
Groq,allam-2-7b,allam-2-7b,text,30,7000,6000,500000,,,"Specialized Arabic language model, localized content."
Groq,canopylabs/orpheus-arabic-saudi,canopylabs/orpheus-arabic-saudi,text,10,100,1200,3600,,,Specialized Arabic language generation and translation.
Groq,canopylabs/orpheus-v1-english,canopylabs/orpheus-v1-english,text,10,100,1200,3600,,,English language generation and comprehension.
Groq,groq/compound,groq/compound,text,30,250,70000,,, ,"Routing, mixture of experts, dynamic model selection."
Groq,groq/compound-mini,groq/compound-mini,text,30,250,70000,,, ,"Routing, mixture of experts, dynamic model selection."
Groq,llama-3.1-8b-instant,llama-3.1-8b-instant,text,30,14400,6000,500000,,,"Fast text generation, summarization, general chat."
Groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,text,30,1000,12000,100000,,,"Complex reasoning, coding, deep comprehension."
Groq,meta-llama/llama-4-scout-17b-16e-instruct,meta-llama/llama-4-scout-17b-16e-instruct,text,30,1000,30000,500000,,,"Function calling, tool use, agentic workflows."
Groq,meta-llama/llama-prompt-guard-2-22m,meta-llama/llama-prompt-guard-2-22m,text,30,14400,15000,500000,,,"Safety, prompt injection detection, input moderation."
Groq,meta-llama/llama-prompt-guard-2-86m,meta-llama/llama-prompt-guard-2-86m,text,30,14400,15000,500000,,,"Safety, prompt injection detection, input moderation."
Groq,openai/gpt-oss-120b,openai/gpt-oss-120b,text,30,1000,8000,200000,,,General purpose instruction following.
Groq,openai/gpt-oss-20b,openai/gpt-oss-20b,text,30,1000,8000,200000,,,General purpose instruction following.
Groq,openai/gpt-oss-safeguard-20b,openai/gpt-oss-safeguard-20b,text,30,1000,8000,200000,,,"General purpose instruction following. Content moderation, safety alignment."
Groq,qwen/qwen3-32b,qwen/qwen3-32b,text,60,1000,6000,500000,,,"Multilingual text generation, coding, general knowledge."
Groq,whisper-large-v3,whisper-large-v3,text,20,2000,,,7200,28800,"Audio transcription, speech-to-text, translation."
Groq,whisper-large-v3-turbo,whisper-large-v3-turbo,text,20,2000,,,7200,28800,"Audio transcription, speech-to-text, translation. Optimized for speed and real-time transcription."
